Configuração,Iterações/Gerações,Seleção de pais,Recombinação,Mutação,Tamanho população,PR,PM,Menor Fitness,Maior Fitness,Menor Fitness Medio,Maior Fitness Medio,Tempo (ms) 2 execuções
Dados de 1000 iteracoes_SelecaoFPS_RecombinacaoCrossoverUmPontoInteira_com PR 0.75_MutacaoIncrementosLentos_com PM 0.03_populacao 50.csv,1000,SelecaoFPS,RecombinacaoCrossoverUmPontoInteira,MutacaoIncrementosLentos,50,0.75,0.03,79.99786687643086,1815.7840978169527,147.7907663067004,1800.484290178705,7221.847921
Dados de 1000 iteracoes_SelecaoFPS_RecombinacaoCrossoverUmPontoInteira_com PR 0.75_MutacaoIncrementosLentos_com PM 0.06_populacao 50.csv,1000,SelecaoFPS,RecombinacaoCrossoverUmPontoInteira,MutacaoIncrementosLentos,50,0.75,0.06,23.296258077368016,2244.186395449189,25.090674111289953,1835.9969731318797,6854.343557
Dados de 1000 iteracoes_SelecaoFPS_RecombinacaoCrossoverUmPontoInteira_com PR 0.75_MutacaoIncrementosLentos_com PM 0.1_populacao 50.csv,1000,SelecaoFPS,RecombinacaoCrossoverUmPontoInteira,MutacaoIncrementosLentos,50,0.75,0.1,7.206812023536855,2086.7634348626343,42.698705685825374,1708.2783276367645,3919.660272
Dados de 1000 iteracoes_SelecaoFPS_RecombinacaoCrossoverUmPontoInteira_com PR 0.85_MutacaoIncrementosLentos_com PM 0.03_populacao 50.csv,1000,SelecaoFPS,RecombinacaoCrossoverUmPontoInteira,MutacaoIncrementosLentos,50,0.85,0.03,27.244864266117126,2747.128381725666,57.112156134045605,2033.1357386928903,8061.635996
Dados de 1000 iteracoes_SelecaoFPS_RecombinacaoCrossoverUmPontoInteira_com PR 0.85_MutacaoIncrementosLentos_com PM 0.06_populacao 50.csv,1000,SelecaoFPS,RecombinacaoCrossoverUmPontoInteira,MutacaoIncrementosLentos,50,0.85,0.06,34.073283178211184,2432.2845695511382,37.740156718298955,1916.0957882046155,6517.368671
Dados de 1000 iteracoes_SelecaoFPS_RecombinacaoCrossoverUmPontoInteira_com PR 0.85_MutacaoIncrementosLentos_com PM 0.1_populacao 50.csv,1000,SelecaoFPS,RecombinacaoCrossoverUmPontoInteira,MutacaoIncrementosLentos,50,0.85,0.1,7.361525289499407,1191.1085033709974,7.962161927580505,600.8321543068234,7769.928674
Dados de 1000 iteracoes_SelecaoFPS_RecombinacaoCrossoverUmPontoInteira_com PR 0.95_MutacaoIncrementosLentos_com PM 0.03_populacao 50.csv,1000,SelecaoFPS,RecombinacaoCrossoverUmPontoInteira,MutacaoIncrementosLentos,50,0.95,0.03,7.520020637438562,1928.2895606788804,49.01316083483331,1258.168325133931,12747.228343
Dados de 1000 iteracoes_SelecaoFPS_RecombinacaoCrossoverUmPontoInteira_com PR 0.95_MutacaoIncrementosLentos_com PM 0.06_populacao 50.csv,1000,SelecaoFPS,RecombinacaoCrossoverUmPontoInteira,MutacaoIncrementosLentos,50,0.95,0.06,6.185714285714286,1722.2640064768298,36.30076129343416,1637.2538972651764,5489.567433
Dados de 1000 iteracoes_SelecaoFPS_RecombinacaoCrossoverUmPontoInteira_com PR 0.95_MutacaoIncrementosLentos_com PM 0.1_populacao 50.csv,1000,SelecaoFPS,RecombinacaoCrossoverUmPontoInteira,MutacaoIncrementosLentos,50,0.95,0.1,9.104366911782336,1733.0654789794685,11.760263008613082,1252.4670407778708,6317.045361
Dados de 1000 iteracoes_SelecaoFPS_RecombinacaoCrossoverUmPontoInteira_com PR 0.75_MutacaoIncrementosLentos_com PM 0.03_populacao 100.csv,1000,SelecaoFPS,RecombinacaoCrossoverUmPontoInteira,MutacaoIncrementosLentos,100,0.75,0.03,16.33835902672178,2470.983238208766,26.620229237201237,1732.9522399059904,40794.25568
